publication_date,date,variable,value
2021-01-26,2020-01-20,Number of cases,1
2021-01-26,2020-01-21,Number of cases,0
2021-01-26,2020-01-22,Number of cases,0
2021-01-26,2020-01-23,Number of cases,0
2021-01-26,2020-01-24,Number of cases,0
2021-01-26,2020-01-25,Number of cases,0
2021-01-26,2020-01-26,Number of cases,0
2021-01-26,2020-01-27,Number of cases,0
2021-01-26,2020-01-28,Number of cases,1
2021-01-26,2020-01-29,Number of cases,0
2021-01-26,2020-01-30,Number of cases,0
2021-01-26,2020-01-31,Number of cases,0
2021-01-26,2020-02-01,Number of cases,0
2021-01-26,2020-02-02,Number of cases,0
2021-01-26,2020-02-03,Number of cases,0
2021-01-26,2020-02-04,Number of cases,0
2021-01-26,2020-02-05,Number of cases,0
2021-01-26,2020-02-06,Number of cases,0
2021-01-26,2020-02-07,Number of cases,0
2021-01-26,2020-02-08,Number of cases,0
2021-01-26,2020-02-09,Number of cases,0
2021-01-26,2020-02-10,Number of cases,1
2021-01-26,2020-02-11,Number of cases,0
2021-01-26,2020-02-12,Number of cases,0
2021-01-26,2020-02-13,Number of cases,0
2021-01-26,2020-02-14,Number of cases,0
2021-01-26,2020-02-15,Number of cases,0
2021-01-26,2020-02-16,Number of cases,0
2021-01-26,2020-02-17,Number of cases,0
2021-01-26,2020-02-18,Number of cases,0
2021-01-26,2020-02-19,Number of cases,0
2021-01-26,2020-02-20,Number of cases,0
2021-01-26,2020-02-21,Number of cases,0
2021-01-26,2020-02-22,Number of cases,1
2021-01-26,2020-02-23,Number of cases,0
2021-01-26,2020-02-24,Number of cases,0
2021-01-26,2020-02-25,Number of cases,1
2021-01-26,2020-02-26,Number of cases,0
2021-01-26,2020-02-27,Number of cases,1
2021-01-26,2020-02-27,Number of tests,9
2021-01-26,2020-02-28,Number of cases,3
2021-01-26,2020-02-28,Number of tests,358
2021-01-26,2020-02-29,Number of cases,1
2021-01-26,2020-02-29,Number of tests,15
2021-01-26,2020-03-01,Number of cases,1
2021-01-26,2020-03-01,Number of tests,16
2021-01-26,2020-03-02,Number of cases,0
2021-01-26,2020-03-02,Number of tests,26
2021-01-26,2020-03-03,Number of cases,4
2021-01-26,2020-03-03,Number of tests,51
2021-01-26,2020-03-04,Number of cases,6
2021-01-26,2020-03-04,Number of tests,85
2021-01-26,2020-03-05,Number of cases,1
2021-01-26,2020-03-05,Number of tests,80
2021-01-26,2020-03-06,Number of cases,7
2021-01-26,2020-03-06,Number of tests,105
2021-01-26,2020-03-06,Number of deaths,1
2021-01-26,2020-03-07,Number of cases,7
2021-01-26,2020-03-07,Number of tests,20
2021-01-26,2020-03-07,Number of deaths,0
2021-01-26,2020-03-08,Number of cases,9
2021-01-26,2020-03-08,Number of tests,14
2021-01-26,2020-03-08,Number of deaths,0
2021-01-26,2020-03-09,Number of cases,17
2021-01-26,2020-03-09,Number of tests,122
2021-01-26,2020-03-09,Number of deaths,0
2021-01-26,2020-03-10,Number of cases,54
2021-01-26,2020-03-10,Number of tests,128
2021-01-26,2020-03-10,Number of deaths,0
2021-01-26,2020-03-11,Number of cases,76
2021-01-26,2020-03-11,Number of tests,163
2021-01-26,2020-03-11,Number of deaths,0
2021-01-26,2020-03-12,Number of cases,60
2021-01-26,2020-03-12,Number of tests,349
2021-01-26,2020-03-12,Number of deaths,0
2021-01-26,2020-03-13,Number of cases,28
2021-01-26,2020-03-13,Number of tests,409
2021-01-26,2020-03-13,Number of deaths,1
2021-01-26,2020-03-14,Number of cases,29
2021-01-26,2020-03-14,Number of tests,595
2021-01-26,2020-03-14,Number of deaths,2
2021-01-26,2020-03-15,Number of cases,53
2021-01-26,2020-03-15,Number of tests,644
2021-01-26,2020-03-15,Number of deaths,0
2021-01-26,2020-03-16,Number of cases,52
2021-01-26,2020-03-16,Number of tests,868
2021-01-26,2020-03-16,Number of deaths,1
2021-01-26,2020-03-17,Number of cases,47
2021-01-26,2020-03-17,Number of tests,1136
2021-01-26,2020-03-17,Number of deaths,2
2021-01-26,2020-03-18,Number of cases,90
2021-01-26,2020-03-18,Number of tests,1025
2021-01-26,2020-03-18,Number of deaths,0
2021-01-26,2020-03-19,Number of cases,100
2021-01-26,2020-03-19,Number of tests,775
2021-01-26,2020-03-19,Number of deaths,1
2021-01-26,2020-03-20,Number of cases,87
2021-01-26,2020-03-20,Number of tests,1286
2021-01-26,2020-03-20,Number of deaths,1
2021-01-26,2020-03-21,Number of cases,87
2021-01-26,2020-03-21,Number of tests,1603
2021-01-26,2020-03-21,Number of deaths,2
2021-01-26,2020-03-22,Number of cases,78
2021-01-26,2020-03-22,Number of tests,1048
2021-01-26,2020-03-22,Number of deaths,1
2021-01-26,2020-03-23,Number of cases,84
2021-01-26,2020-03-23,Number of tests,1316
2021-01-26,2020-03-23,Number of deaths,4
2021-01-26,2020-03-24,Number of cases,99
2021-01-26,2020-03-24,Number of tests,1582
2021-01-26,2020-03-24,Number of deaths,1
2021-01-26,2020-03-25,Number of cases,104
2021-01-26,2020-03-25,Number of tests,1848
2021-01-26,2020-03-25,Number of deaths,5
2021-01-26,2020-03-26,Number of cases,114
2021-01-26,2020-03-26,Number of tests,1837
2021-01-26,2020-03-26,Number of deaths,4
2021-01-26,2020-03-27,Number of cases,95
2021-01-26,2020-03-27,Number of tests,2004
2021-01-26,2020-03-27,Number of deaths,2
2021-01-26,2020-03-28,Number of cases,77
2021-01-26,2020-03-28,Number of tests,1205
2021-01-26,2020-03-28,Number of deaths,4
2021-01-26,2020-03-29,Number of cases,70
2021-01-26,2020-03-29,Number of tests,587
2021-01-26,2020-03-29,Number of deaths,10
2021-01-26,2020-03-30,Number of cases,129
2021-01-26,2020-03-30,Number of tests,1084
2021-01-26,2020-03-30,Number of deaths,10
2021-01-26,2020-03-31,Number of cases,125
2021-01-26,2020-03-31,Number of tests,1131
2021-01-26,2020-03-31,Number of deaths,7
2021-01-26,2020-04-01,Number of cases,149
2021-01-26,2020-04-01,Number of tests,1611
2021-01-26,2020-04-01,Number of deaths,4
2021-01-26,2020-04-02,Number of cases,161
2021-01-26,2020-04-02,Number of tests,2331
2021-01-26,2020-04-02,Number of deaths,7
2021-01-26,2020-04-03,Number of cases,199
2021-01-26,2020-04-03,Number of tests,1691
2021-01-26,2020-04-03,Number of deaths,10
2021-01-26,2020-04-04,Number of cases,81
2021-01-26,2020-04-04,Number of tests,3224
2021-01-26,2020-04-04,Number of deaths,7
2021-01-26,2020-04-05,Number of cases,122
2021-01-26,2020-04-05,Number of tests,1647
2021-01-26,2020-04-05,Number of deaths,4
2021-01-26,2020-04-06,Number of cases,209
2021-01-26,2020-04-06,Number of tests,1971
2021-01-26,2020-04-06,Number of deaths,10
2021-01-26,2020-04-07,Number of cases,200
2021-01-26,2020-04-07,Number of tests,2167
2021-01-26,2020-04-07,Number of deaths,18
2021-01-26,2020-04-08,Number of cases,138
2021-01-26,2020-04-08,Number of tests,3295
2021-01-26,2020-04-08,Number of deaths,8
2021-01-26,2020-04-09,Number of cases,158
2021-01-26,2020-04-09,Number of tests,2549
2021-01-26,2020-04-09,Number of deaths,11
2021-01-26,2020-04-10,Number of cases,71
2021-01-26,2020-04-10,Number of tests,3287
2021-01-26,2020-04-10,Number of deaths,3
2021-01-26,2020-04-11,Number of cases,75
2021-01-26,2020-04-11,Number of tests,1318
2021-01-26,2020-04-11,Number of deaths,3
2021-01-26,2020-04-12,Number of cases,80
2021-01-26,2020-04-12,Number of tests,1589
2021-01-26,2020-04-12,Number of deaths,11
2021-01-26,2020-04-13,Number of cases,117
2021-01-26,2020-04-13,Number of tests,920
2021-01-26,2020-04-13,Number of deaths,14
2021-01-26,2020-04-14,Number of cases,175
2021-01-26,2020-04-14,Number of tests,1225
2021-01-26,2020-04-14,Number of deaths,10
2021-01-26,2020-04-15,Number of cases,130
2021-01-26,2020-04-15,Number of tests,2492
2021-01-26,2020-04-15,Number of deaths,14
2021-01-26,2020-04-16,Number of cases,120
2021-01-26,2020-04-16,Number of tests,3507
2021-01-26,2020-04-16,Number of deaths,12
2021-01-26,2020-04-17,Number of cases,125
2021-01-26,2020-04-17,Number of tests,2710
2021-01-26,2020-04-17,Number of deaths,10
2021-01-26,2020-04-18,Number of cases,56
2021-01-26,2020-04-18,Number of tests,3692
2021-01-26,2020-04-18,Number of deaths,0
2021-01-26,2020-04-19,Number of cases,67
2021-01-26,2020-04-19,Number of tests,2362
2021-01-26,2020-04-19,Number of deaths,6
2021-01-26,2020-04-20,Number of cases,143
2021-01-26,2020-04-20,Number of tests,1844
2021-01-26,2020-04-20,Number of deaths,19
2021-01-26,2020-04-21,Number of cases,112
2021-01-26,2020-04-21,Number of tests,3620
2021-01-26,2020-04-21,Number of deaths,4
2021-01-26,2020-04-22,Number of cases,124
2021-01-26,2020-04-22,Number of tests,4202
2021-01-26,2020-04-22,Number of deaths,8
